CUI,CAEN,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20
1590430,893,178931420,365147815,12897550,133884924,140548850,1161954,82183941,4553318,89802027,368701903,40936410,0,407025529,441208839,345513453,95695386,0,76383983,0,1611
1520249,2932,54371000,74594072,31314647,43162201,114620,503961,62921438,2477076,,64070519,82438834,,96044149,97566510,98450787,0,884277,0,830697,734
1860712,1920,5271950633,2526560190,825507596,1681602150,19450444,6563538,5129456819,,335464381,2340153161,4410920573,,14115915691,14304873785,14534722140,0,229848355,0,230205630,1126
1962437,4773,186471630,168784094,33350664,128803661,6629769,442114,201349965,,55096,154292777,51126741,,403738563,413663610,405338989,8324621,0,7117235,0,727
56150,5630,109037354,6617469,297479,713676,5606314,70373,17123318,0,27000,98574878,80356103,0,22870060,24177795,26021981,0,1844186,0,2237724,172
35787560,4789,,652,,-3,655,,30698,,,-30046,200,,699,699,684,15,0,0,6,0
7203436,910,53070501,46620731,15811577,27099381,3709773,3292,119173193,0,4030551,-23509220,100232329,0,112924064,117137245,122617767,0,5480522,0,6293954,316
14056826,620,6331103426,3229808025,247310662,1551582279,552360434,21384366,1219956194,29578608,693808617,7638952398,385422400,0,4964733263,5222536928,3643680929,1578855999,0,1360546709,0,5604
723636,1105,12070930,16772534,15136531,1624144,11859,104120,4170755,,1500000,23276829,15087134,,30225768,35253493,33335949,1917544,0,1639590,0,199
335588,2313,296728119,247110436,44465095,152840685,49804656,527013,141325275,32188571,680405,370171317,40696730,,362743642,371458484,328096509,43361975,0,37701778,0,375
10881986,6120,768074589,122217456,29984711,51026958,41205787,571619,201436540,11133063,9052626,669241435,193486919,,262400056,269799763,268227305,1572458,0,337681,0,1307
1973096,2110,341507512,362725332,66181508,294167142,2376682,1872337,225252826,3126799,4998241,472727315,67133804,,365304988,376902346,341813735,35088611,0,34303788,0,1415
51,2712,1106810,14089975,6680586,4877529,2531860,91562,3293704,5959,279439,11709245,4667689,0,17997663,17979802,18745253,0,765451,0,765451,94
2410163,5224,513968439,27884946,456427,19479525,7948994,46851,90028491,44179,3433479,448394087,58243025,,145962694,146772105,144866452,1905653,0,281240,0,927
1510210,2420,920376628,566968892,245020825,305022988,16925079,8358181,894924617,66925,8725364,591986795,291587538,,1385705402,1492981237,1425200516,67780721,0,56569986,0,1457
156027,2751,52388210,79838741,21225740,30405675,7386786,1066966,60790765,3036085,6483652,62983415,6976465,,191315103,253887009,239422751,14464258,0,12258120,0,492
1151753,3020,68043473,136456415,75458869,44658801,16338745,429589,95369804,9257142,2495800,97806731,12071923,,176338576,194365891,170108208,24257683,0,20125321,0,334
73126,4120,17242312,30640962,10752380,15063453,4825129,304097,14950424,66065,3841594,29329288,3144561,,27952911,39904366,39377070,527296,0,437982,0,200
1323700,4321,3824633,2180703,1434155,479193,267355,,5418459,,25612,561265,5061637,,630019,5844609,3564690,2279919,0,2279919,0,27
1515374,2442,1342880777,1417880968,694954656,536171349,186754963,23335179,1482982532,49576531,27893326,1223644535,356889568,,2612356782,2979069791,2707049735,272020056,0,225956817,0,2549
13267213,3511,15296464896,3319004983,70000911,666315840,86021162,2120468,1333626684,187019527,537418689,16559525447,4482393310,,4261482479,4381983050,2092721991,2289261059,0,1939277740,0,3305
1590236,7120,230830386,139405571,2804473,17087202,119513896,635365,71424007,855841,51765618,246825856,,233525,374277772,376368323,251786176,124582147,0,105220663,0,1669
2115198,4773,37949388,32694191,14766284,15354567,2573340,56946,28658469,,10449,42031607,10921209,,99034548,102681898,100484725,2197173,0,2141021,0,363
1553483,4110,296815971,332469185,265852875,39939811,26676499,1304395,181106075,15597,601483,448866396,277866574,,106812644,121695985,94421591,27274394,0,19986942,0,56
201535,2391,74146410,23631198,14958348,7793549,117556,131119,18512571,32237,247526,79116393,12325438,,36073770,39567680,36237992,3329688,0,2667588,0,219
17473763,5610,5848039,11348985,8180798,3142672,-92520,166643,16217095,,66555,1080017,100000,,34458080,35120245,34277619,842626,0,842626,0,123
13093222,3523,3826922069,3325134306,372375015,1857216078,128645902,1424583,2312393913,174188177,28234299,4638664569,199245530,,6066962460,6329170766,5834246999,494923767,0,455927017,0,655
1454846,1721,286873046,102255048,40212707,59977969,2064227,836013,170783028,18208681,372440,200599958,103168355,,295295394,305297977,286222483,19075494,0,17772017,0,1133
13267221,7022,3694738318,302785515,76668,31246487,169969284,54105,12341863,593991,7853736,3976788348,3459399290,,16832488,367514710,69545107,297969603,0,297973355,0,144
2980547,5510,194261063,68881540,37960370,3509894,27411276,895292,22188878,,991092,240857925,57894994,,46416147,63544756,52241700,11303056,0,9823215,0,316
1589932,5223,546615612,662363134,11742414,195373206,455247514,13514517,122755618,157139971,513487834,429109840,,214684295,973670108,996953928,944739815,52214113,0,52214113,0,1546
108,2229,35693274,55612884,11054665,13175190,8250722,73964,17638876,,137809,73603437,17072385,,51519678,64038576,59529058,4509518,0,4336804,0,70
1056654,2811,150404328,68442707,32328939,30148858,5963721,43567,706881763,11660,233607009,-721609830,10993390,0,54405981,59221344,73341361,0,14120017,0,14451460,829
1145077,1061,71807690,52201552,13296001,37427979,1477572,150758,22526933,650,633306,100999111,23306374,,62270618,69838742,66382220,3456522,0,5845913,0,480
12397185,9200,263981466,338728044,2473576,11729983,42130015,912589,101096743,1221943,75458086,425845327,42611725,,1018925111,1076693030,957830775,118862255,0,94933563,0,2485
1132930,3030,66603308,258994406,164987911,91808774,2197721,11298,98699960,,75987746,150921306,47197132,,259274208,304717092,267646471,37070621,0,31184158,0,364
