CUI,CAEN,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19
1132417,1310,11564903,14869793,9499429,4826133,544231,,18811069,558109,13104,7052414,4875513,28161372,29296178,29177528,118650,0,100624,0,148
1158050,2221,210024647,59514570,23824916,33160637,2529017,152874,116588748,19981724,,133121619,26412210,197966578,213528903,207790565,5738338,0,4798066,0,941
3156315,3030,67279522,57319901,43938832,3744213,9636856,51846,58796384,884678,4857551,60112656,36944248,100766069,112730754,94272741,18458013,0,13650921,0,447
1870767,5224,132590441,48229646,1771012,8776192,9804832,145367,36962750,31096,486357,143485251,34342574,63325700,66885834,62407652,4478182,0,3724766,0,425
108,2229,25660783,55513505,7413447,9392149,11411101,126238,14159312,,69722,67071492,17072385,41421864,50639623,45066279,5573344,0,5360214,0,67
1860712,1920,5324321343,2769876635,1021752137,1725261218,22863280,1510090,5189119399,,327130219,2579458450,4410920573,11192755314,11589888516,11171551788,418336728,0,418336728,0,1061
1962437,4773,137453310,104650350,38704178,59200447,6745725,551281,97276497,,55096,145323348,51126741,340905161,347875692,340699824,7175868,0,6093430,0,745
568656,2811,97766611,71101396,7467980,58303272,5330144,,79014893,10378265,8619880,70854969,13036325,175173913,182149552,178394734,3754818,0,3341131,0,1024
35787560,4789,,743,,,743,,5977,,,-5234,200,5050,5050,5402,0,352,0,504,
24299016,7022,63516,247,,128,119,,106991,,,-43228,200,,,,0,0,0,0,
1475261,2014,855830850,209084168,72908718,76715341,8305635,148469,1310333999,3436675,24575550,-273282737,34321138,961504444,1001102318,933537302,67565016,0,47732190,0,1950
13267221,7022,3021739161,1007378192,174592,134240562,125982921,83135,88648174,771914,15622883,3924157517,3459399290,481970387,852218031,597050310,255167721,0,258163916,0,149
1114208,7219,2288003,691135,0,600126,91009,0,180388,46011,0,2752739,2084670,794157,953474,896064,57410,0,48672,0,5
677858,2332,123059035,57439154,12225110,10715495,34498549,120459,64232919,1749057,5358329,109278343,11399022,94213439,95174328,80365194,14809134,0,13225478,0,196
788767,2932,361907906,234430880,104615667,129201234,613979,550379,158921299,30576471,2876295,404515100,21882104,704042288,722321916,679679102,42642814,0,38098354,0,2031
1520249,2932,54911708,71966242,27965434,43768666,229538,278129,60601669,3191436,,63362974,82438834,97824874,127527080,127338881,188199,0,241779,0,719
73126,4120,16717335,39476561,6870538,27666084,4939939,244981,20114030,64346,7369195,28891306,3144561,34467704,45477669,44909909,567760,0,467829,0,206
1323700,4321,5136524,3220809,1573677,1147475,499657,89523,9966358,292592,25612,-1837706,5061637,1448524,5703719,6488461,0,784742,0,784742,39
2695737,6420,11160242,1600939,,1598711,2228,25278,11431020,,,1355439,3605949,350013,1127591,5706934,0,4579343,0,4047889,9
7203436,910,61881103,59288987,18766398,37115124,3407465,21579,132520294,0,4451715,-15780340,100232329,74811161,359760388,106993431,252766957,0,253954671,0,317
2157428,2219,49483635,81434182,46697480,28428173,6294132,321448,53665497,665321,,76908447,24873443,133796633,153692893,146574438,7118455,0,6134163,0,939
13328043,3512,3137990289,1366460683,32014652,813699531,520746500,4807348,1245911212,451523250,94192093,2717631765,733031420,3015023896,3079441870,3032567474,46874396,0,28267175,0,2063
54620,2932,78353529,84966499,27964511,47677702,9324286,,59847864,4864426,,98607738,17766860,145184352,156393719,149313233,7080486,0,5763594,0,526
7947193,2731,189599438,464708392,381227781,82844521,636090,23016087,901446321,17791786,,-241914190,42967568,175377176,-129469375,94533244,0,224002619,0,224002619,394
2410163,5224,505855209,33974002,1532514,19031096,13410392,93926,84535759,53316,2823079,452510983,58243025,158031735,158780521,153546739,5233782,0,4977726,0,942
